排名,电影名称,电影英文名称,导演,剧情类型,上映时间,片长,累计票房,主演,评分,奖项,剧情简介
25,指环王1：护戒使者,The Lord of the Rings: The Fellowship of the Ring,彼得·杰克逊,剧情,2002-04-04,178分钟,5620万,"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",9.0,"['第74届奥斯卡金像奖', '第59届金球奖', '第74届奥斯卡金像奖', '第59届金球奖', '第55届英国电影和电视艺术学院奖', '第26届日本电影学院奖', '第2届北京国际电影节', '第11届MTV电影奖', '第39届人民选择奖', '第29届人民选择奖', '第38届土星奖', '第29届土星奖', '第28届土星奖', '第4届青少年选择奖', '第41届美国剪辑工会奖', '第54届美国导演工会奖', '第8届美国演员工会奖', '第73届美国国家评论协会奖', '第2届美国电影学会奖']",比尔博·巴金斯（伊安·霍姆 饰）是100多岁的霍比特人，住在故乡夏尔，生性喜欢冒险，在年轻时的一次探险经历中，他从怪物咕噜手中得到了至尊魔戒，这枚戒指是黑暗魔君索伦打造的至尊魔戒，拥有奴役世界的邪恶力量，能够统领其他几枚力量之戒，在3000年前的人类联盟和半兽人大军的战役中，联盟取得了胜利，并得到了至尊魔戒，数千年的辗转后，魔戒落到咕噜手中，被比尔博碰巧得到。 因为和魔戒的朝夕相处，比尔博的心性也受到了影响，在他111岁的生日宴会上，他决定把一切都留给侄子弗罗多（伊利亚·伍德 饰），继续冒险。 比尔博的好朋友灰袍巫师甘道夫（伊恩·麦克莱恩 饰）知道至尊魔戒的秘密，同时，黑暗魔君索伦已经知道他的魔戒落在霍比特人的手中。索伦正在重新集结无数的半兽人，准备以大军夺取魔戒，征服世界。 甘道夫说服弗罗多将魔戒护送到精灵王国瑞文戴尔，弗罗多在好朋友山姆、皮平和梅利的陪同下，在跃马旅店得到了刚铎王子阿拉贡（维果·莫特森 饰）的帮助，历经艰难，终于到达了精灵王国。 然而，精灵族并不愿意保管这个邪恶的至尊魔戒，中土各国代表开会讨论，达成意见，准备将至尊魔戒送到末日山脉的烈焰中彻底销毁，弗罗多挺身而出接受了这个任务，这次，陪伴他的除了三个好朋友，还有甘道夫、阿拉贡、精灵莱格拉斯（奥兰多·布鲁姆 饰）、人类博罗米尔、矮人金雳。 一路上，护戒使者们除了要逃避戒灵和半兽人的追杀之外，更要抵抗至尊魔戒本身的邪恶诱惑，前途困难重重。
26,天堂电影院,Nuovo Cinema Paradiso,朱塞佩·托纳多雷,剧情,1988-11-17,155分钟,暂无,"菲利浦·诺瓦雷,赛尔乔·卡斯特利托,蒂兹亚娜·罗达托",9.2,"['第62届奥斯卡金像奖', '第42届戛纳电影节', '第62届奥斯卡金像奖', '第42届戛纳电影节', '第41届戛纳电影节', '第47届金球奖', '第2届欧洲电影奖', '第44届英国电影和电视艺术学院奖', '第14届日本电影学院奖', '第4届北京国际电影节', '第34届意大利大卫奖', '第55届纽约影评人协会奖', '第43届美国导演工会奖']",意大利南部小镇，古灵精怪的小男孩多多（萨瓦特利·卡西欧 饰）喜欢看电影，更喜欢看放映师艾佛特（菲利浦·诺瓦雷 饰）放电影，他和艾佛特成为了忘年之交，在胶片中找到了童年生活的乐趣。 好心的艾佛特为了让更多的观众看到电影，搞了一次露天电影，结果胶片着火了，多多把艾弗达从火海中救了出来，但艾弗达双目失明。多多成了小镇唯一会放电影的人，他接替艾佛特成了小镇的电影放映师。多多（马克·莱昂纳蒂 饰）渐渐长大，他爱上了银行家的女儿艾莲娜（艾萨·丹尼埃利 饰）。初恋的纯洁情愫美如天堂，但是一对小情侣的海誓山盟被艾莲娜父亲的阻挠给隔断了，托托去服兵役，而艾莲娜去念大学。伤心的多多在艾佛特的鼓励下，离开小镇，追寻自己生命中的梦想……    30年后，艾佛特去世，此时的多多已经是功成名就的导演，他回到了家乡，看到残破的天堂电影院，追忆往昔，唏嘘不已。多多意外地遇见了艾莲娜，往日种种，真相大白，他们如何面对彼此？
27,指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,彼得·杰克逊,剧情,2003-04-25,179分钟,2400万,"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",9.1,"['第75届奥斯卡金像奖', '第60届金球奖', '第75届奥斯卡金像奖', '第60届金球奖', '第56届英国电影和电视艺术学院奖', '第27届日本电影学院奖', '第2届北京国际电影节', '第12届MTV电影奖', '第30届人民选择奖', '第38届土星奖', '第30届土星奖', '第29届土星奖', '第5届青少年选择奖', '第42届美国剪辑工会奖', '第55届美国导演工会奖', '第9届美国演员工会奖', '第3届美国电影学会奖']",第一部结尾，博罗米尔被强兽人杀死之后，两个哈比族人皮平和梅利也被强兽人绑架，阿拉贡（维果·莫特森 饰）、莱格拉斯（奥兰多·布鲁姆 饰）、金雳一路追踪强兽人，营救皮平和梅利，遇到了“复活”的白袍巫师甘道夫（伊恩·麦克凯伦 饰）。此时，投降索伦的白袍巫师萨鲁曼控制了人类洛汗王国的王，并派出大量的强兽人军队，准备消灭人类。阿拉贡、莱格拉斯和金雳在甘道夫的带领下，帮助洛汗王国对抗邪恶力量的入侵。 幸运的皮平和梅利被会说话的树人救了出来，并且遇到“复活”的甘道夫，在甘道夫的授意下，树人保护了两人的安全，并且带他们参加树人大会，大会上，树人们讨论对待中土大战的态度：是继续当中立者，逆来顺受，还是奋起反抗？ 身负重任的弗罗多（伊利亚·伍德 饰）和山姆继续向末日山前进，一路上被咕噜跟踪，弗罗多依靠至尊魔戒的力量，成为了咕噜的主人，在咕噜的带领下，他们到了末日山的入口黑门。就在他们准备进入之时，博罗米尔的弟弟法拉米尔出现，将他们带回了刚铎。弗罗多又遇上了新的危机：法拉米尔想利用至尊魔戒的力量对抗萨鲁曼的攻击……
28,机器人总动员,WALL·E,安德鲁·斯坦顿,喜剧,2008-06-27,98分钟,暂无,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林",9.3,"['第81届奥斯卡金像奖', '第66届金球奖', '第81届奥斯卡金像奖', '第66届金球奖', '第62届英国电影和电视艺术学院奖', '第61届英国电影和电视艺术学院奖', '第36届安妮奖', '第4届北京国际电影节', '第35届人民选择奖', '第35届土星奖', '第54届意大利大卫奖', '第12届好莱坞电影奖', '第48届美国剪辑工会奖', '第73届纽约影评人协会奖', '第9届美国电影学会奖']",公元2700年，地球早就被人类祸害成了一个巨大的垃圾场，已经到了 无法居住的地步，人类只能大举迁移到别的星球，然后委托一家机器人垃圾清理公司善后，直至地球的环境系统重新达到生态平衡。在人类离开之后，垃圾清理公司将机器人瓦力成批地输送到地球，并给他们安装了惟一的指令——垃圾分装，然而随着时间的推移，机器人一个接一个地坏掉，最后只剩下惟一的一个，继续在这个似乎已经被遗忘了的角落，勤勤恳恳地在垃圾堆中忙碌着，转眼就过去了几百年的时间，寂寞与孤独变成了围绕着他的永恒的主题。然而，一艘突然而至的宇宙飞船打破了这里的平静，它还带来了专职搜索任务的机器人伊娃，当瓦力经历了几百年的孤独，终于见到了另一个机器人时，他觉得自己好像爱上她了，伊娃在经过了反复搜索和精确的计算之后，找到了地球开始复苏的证据：一株绿色植物，她通过宇宙飞船将自己的发现报告给人类，收到了将绿色植物带离地球的指令——人类正想尽办法重回地球，所以他们不会放弃任何可能的机会。于是瓦力追随着伊娃，展开了一次穿越整个 银河系、最令人兴奋、也是最具有想象力的奇幻旅程  。
29,活着,To Live,张艺谋,剧情,1994-05-17,132分钟,233万美元,"葛优,巩俐,牛犇",9.0,"['第47届戛纳电影节', '第46届戛纳电影节', '第47届戛纳电影节', '第46届戛纳电影节', '第52届金球奖', '第48届英国电影和电视艺术学院奖']",福贵 （葛优饰）是一个嗜赌如命的纨绔子弟，把家底儿全输光了，老爹也气死了 ，怀孕的妻子家珍 （巩俐饰）带着女儿凤霞离家出走，一年之后又带着新生的儿子有庆回来了。福贵从此洗心革面，和同村的春生一起操起了皮影戏的营生，却被国民党军队拉了壮丁，后来又糊里糊涂的当了共产党的俘虏。他们约定，一定要活着回去。历尽千辛万苦，终于平安回到家中，母亲却已去逝，女儿凤霞也因生病变哑了。一家人继续过着清贫而又幸福的日子。在“大跃进”中当上区长的春生不慎开车撞死了有庆，一家人伤痛欲绝，家珍更是不能原谅春生 （郭涛饰），文革时，春生遭到迫害，妻子自杀，一天半夜他来到福贵家，把毕生积蓄交给福贵，说他也不想活了。这时家珍走出来让春生到屋里坐。春生临走时，家珍嘱咐他好好的活着。 　　后来凤霞认识了忠厚老实的二喜，两人喜结良缘。然而不幸总是不肯放过福贵一家。不久凤霞生下一子，自己却因难产而死。凤霞的儿子取名叫馒头，聪明可爱。最后，福贵说馒头赶上好时候了，将来这日子会越来越好  。
30,狮子王,The Lion King,罗杰·阿勒斯,动画,1995-07-15,89分钟,14万,"马修·布罗德里克,尼基塔·卡兰姆,詹姆斯·厄尔·琼斯",8.8,"['第67届奥斯卡金像奖', '第52届金球奖', '第67届奥斯卡金像奖', '第52届金球奖', '第57届英国电影和电视艺术学院奖', '第48届英国电影和电视艺术学院奖', '第22届安妮奖', '第2届北京国际电影节', '第4届MTV电影奖', '第30届土星奖', '第21届土星奖']",辛巴是荣耀国的小王子，他的父亲木法沙是一个威严的国王。然而叔叔刀疤却对木法沙的王位觊觎已久。要想坐上王位宝座，刀疤必须除去小王子，于是，刀疤利用种种借口让辛巴外出，然后伺机让鬣狗军团大开杀戒，无奈被木法沙及时来救。后来，在反复的算计下，木法沙惨死在刀疤手下；事后，刀疤别有用心的劝辛巴离开，一方面派鬣狗将他赶尽杀绝，但辛巴却逃出生天。辛巴逃亡中遇到了机智的丁满和善良的彭彭，他们见证了辛巴长成雄壮的大狮子。不久，辛巴意外遇上了少年时的玩伴娜娜，娜娜告知辛巴荣耀国遭遇灾难并鼓励他回去复国，但辛巴却不愿意。后来在法师拉飞奇的引导下，辛巴和父亲的英灵会面并下决心复国。在接下来一场复国救民的斗争中，辛巴领会了责任的真谛，并在朋友和亲人的帮助下获得胜利  。
31,拯救大兵瑞恩,Saving Private Ryan,史蒂文·斯皮尔伯格,剧情,1998-11-13,169分钟,暂无,"汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔",8.9,"['第71届奥斯卡金像奖', '第56届金球奖', '第71届奥斯卡金像奖', '第56届金球奖', '第11届欧洲电影奖', '第52届英国电影和电视艺术学院奖', '第22届日本电影学院奖', '第24届法国电影凯撒奖', '第8届MTV电影奖', '第25届土星奖', '第38届美国剪辑工会奖', '第63届纽约影评人协会奖', '第51届美国导演工会奖', '第5届美国演员工会奖']",第二次世界大战后期，德军东部战场正打得不可开交，英美联军则于1944年6月6日在法国的 诺曼底大区开始进行大军团的全面登陆，试图从西部直取德军总部柏林，而在地面部队的登陆作战之前，部分分队已经空降到了远离诺曼底的法国内陆地区，试图在破坏骚扰德军的部署能力之后再与登陆的部队集结，以便于进一步进行大规模的组织进攻。二等兵詹姆斯·瑞恩（ 马特·达蒙 饰演）所在的部队就被远远地抛离到了德军前线的后方。詹姆斯·瑞恩是家中四兄弟的老末，他的三名兄长皆已于两周内陆续在各地战死。美国作战总指挥部的将领在得知该消息之后，为了不让这位不幸的母亲再承受丧子之痛，决定派一支特别小分队，将她仅存的儿子安全地救出战区。该拯救小组的任务就落在了刚刚完成登陆任务的 约翰·米勒上尉（ 汤姆·汉克斯 饰演）身上，而米勒上尉和他的部队刚刚经历过 奥马哈海滩登陆战的惨烈激战，伤亡很大，此时米勒已经顾不上闲暇歇息，而必须组建一支小队即刻出发开始拯救任务，他匆匆地挑选了几位身边较为优秀的士兵，然后又临时从别的部队征召了几名专业兵种，在别的部队还在原地休整的时候，米勒的八人小队又开始长驱直入敌方占领地带，在茫茫未知的广阔地域中寻找一名叫瑞恩的士兵的征途。当小分队的士兵们陷入敌区，各种困难和危险相继扑面而来，人力和装备的严重不足，对语言与地形的不熟悉，还有路边墙角随时可能埋伏着的危险的敌人，面对身边的战友们一个个相继倒下去，他们逐渐开始怀疑这项任务的合理性，但是，尽管他们心存疑惑，他们还是坚决执行上级的命令。 而拯救的旅程也像是一条通往死亡的道路。经历过千难万险之后，小分队终于在某处激战正酣的地带找到了这名士兵瑞恩，然而抱有强烈意志与责任感的瑞恩并不愿意与米勒一起离开战场，此时前方有大量敌人正在接近，大战一触即发，瑞恩与米勒还有所有的战友们都将经历一次更为严峻的考验  。
32,盗梦空间,Inception,克里斯托弗·诺兰,剧情,2010-09-01,148分钟,4.62亿,"莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",9.2,"['第83届奥斯卡金像奖', '第68届金球奖', '第83届奥斯卡金像奖', '第68届金球奖', '第64届英国电影和电视艺术学院奖', '第34届日本电影学院奖', '第36届法国电影凯撒奖', '第20届MTV电影奖', '第37届人民选择奖', '第37届土星奖', '第56届意大利大卫奖', '第55届意大利大卫奖', '第12届青少年选择奖', '第14届中国电影华表奖', '第15届好莱坞电影奖', '第14届好莱坞电影奖', '第84届日本电影旬报奖', '第50届美国剪辑工会奖', '第63届美国导演工会奖', '第17届美国演员工会奖', '第11届美国电影学会奖', '第9届华盛顿影评人协会奖', '第23届芝加哥影评人协会奖', '第10届凤凰城影评人协会奖', '第44届堪萨斯影评人协会奖', '第31届波士顿影评人协会奖', '第19届东南影评人协会奖', '第15届圣地亚哥影评人协会奖']",影片讲述了以道姆·科布为首的盗梦团队为执行拆解费舍尔集团企业的目的，进入集团继承人意识中进行植梦的过程。道姆·科布（莱昂纳多·迪卡普里奥 饰）与同事阿瑟（约瑟夫·戈登-莱维特 饰）和纳什（卢卡斯·哈斯 饰）在一次针对日本能源大亨齐藤（渡边谦 饰）的盗梦行动中失败，反被齐藤利用。齐藤威逼利诱因遭通缉而流亡海外的柯布帮他拆分他竞争对手的公司，采取极端措施在其唯一继承人罗伯特·费舍尔（希里安·墨菲 饰）的深层潜意识中种下放弃家族公司、自立门户的想法。为了重返美国，柯布偷偷求助于岳父迈尔斯（迈克尔·凯恩 饰），吸收了年轻的梦境设计师艾里阿德妮（艾伦·佩吉 饰）、梦境演员艾姆斯（汤姆·哈迪 饰）和药剂师约瑟夫（迪利普·劳 饰）加入行动。在层层递进的梦境中，柯布不仅要对付费希尔潜意识的本能反抗，还必须直面已逝妻子梅尔（玛丽昂·歌迪亚 饰）的处处破坏，实际情况远比预想危险得多……
33,忠犬八公的故事,Hachi: A Dog&#39;s Tale,拉斯·霍尔斯道姆,剧情,2009-06-13,93分钟,暂无,"Forest,理查·基尔,琼·艾伦",9.2,[],八公（Forest饰）是一条谜一样的犬，因为没有人知道它从哪里来。教授帕克（理查·基尔RichardGere饰）在小镇的火车站拣到一只走失的小狗，冥冥中似乎注定小狗和帕克教授有着某种缘分，帕克一抱起这只小狗就再也放不下来，最终，帕克对小狗八公的疼爱感化了起初极力反对养狗的妻子卡特（琼·艾伦JoanAllen饰）。八公在帕克的呵护下慢慢长大，帕克上班时八公会一直把他送到车站，下班时八公也会早早便爬在车站等候，八公的忠诚让小镇的人家对它更加疼爱。有一天，八公在帕克要上班时表现异常，居然玩起了以往从来不会的捡球游戏，八公的表现让帕克非常满意，可是就是在那天，帕克因病去世。帕克的妻子、女儿安迪（萨拉·罗默尔SarahRoemer饰）及女婿迈克尔（罗比·萨布莱特RobbieSublett饰）怀着无比沉痛的心情埋葬了帕克，可是不明就里的八公却依然每天傍晚五点准时守候在小站的门前，等待着主人归来……本片根据上个世纪30年代发生在日本的真实故事改编，1987年在日本拍成电影后创造了40亿日元的票房。
34,哈尔的移动城堡,ハウルの動く城,宫崎骏,动画,2004-09-05,119分钟,暂无,"倍赏千惠子,木村拓哉,美轮明宏",8.9,"['第78届奥斯卡金像奖', '第61届威尼斯电影节', '第78届奥斯卡金像奖', '第61届威尼斯电影节', '第25届香港金像奖', '第33届安妮奖', '第32届土星奖', '第9届好莱坞电影奖', '第70届纽约影评人协会奖']",18岁的 苏菲和继母以及妹妹居住在欧洲的一个小镇中，自从父亲死后，继母凡妮就把女儿们安排到原本由父亲经营的制帽小店营生，但是苏菲的妹妹却对这并不感兴趣，于是她很快离开了制帽店；而苏菲则坚持留了下来，因为这是父亲的最爱。一次，苏菲在看望妹妹的路上，被两个士兵截住。这个时候一个神秘男子—— 哈尔出现了，他用魔法帮助苏菲解决了问题，并送她去妹妹处。途中哈尔和苏菲受到了荒野女巫的追捕。当晚， 荒野女巫出现在了苏菲经营的制帽小店中，并对苏菲下了诅咒，把她变成了一个90岁的老太太，而苏菲还不能对任何人透露咒语内容。于是苏菲只能离家出走。途中她偶然遇见了神秘的稻草人芜菁，为了躲避大风，被引进了神秘的哈尔移动城堡。在那里，苏菲结识了驱使城堡移动的魔力来源——火焰恶魔卡西法，小男孩 马鲁克，稻草人卡普以及男主人公哈尔。苏菲以清洁妇的名义住了下来，度过了一段平静美妙的日子。苏菲逐渐活出了自己，并不知不觉地被哈尔吸引。城堡的主人魔法师哈尔拥有神奇的力量，但他并没有像这个国家所有的魔法师一样接受国王的号令参加战争，而是用自己的力量捍卫和平。哈尔常常在黄昏后才精疲力尽地回到自己的城堡，并也因此越来越深陷，将变成恶魔状态。直到有一天，哈尔对苏菲说出了自己厌恶战争的心声，苏菲决定帮助哈尔。在去王宫的路上，苏菲遇到了荒野女巫。原来这是个陷阱，宫廷女巫莎莉曼虽然是哈尔与荒野女巫的老师，但为了防止他们的心性被恶魔控制，收回了荒野女巫的的魔法，让她变成了一个普通的老婆婆，而哈尔也因为放心不下苏菲来到了王宫，当莎莉曼使出魔法要杀死卡西法收回哈尔的魔法时，苏菲冲了上来救了哈尔。战争终于全面爆发，哈尔为了保护苏菲和大家，一人独自面对敌人。内心爱着哈尔的苏菲不忍让哈尔一人受难，决心与哈尔一同面对。于是，她驱使着移动城堡追寻哈尔的足迹。而此时的哈尔，已经渐渐失去了意识，变成了一只只会战斗保护苏菲的怪鸟。经过了这一连串事故后，偶然间苏菲通过戒指的指引发现了随意门并回到了哈尔的过去，并且了解到哈尔在童年时在流星结束生命的地方遇到了流星卡西法，而后者不愿就这样死去便与哈尔签定了契约，让火之恶魔卡西法的魔力为他所用，但是哈尔自己的心脏也将成为这个契约的交换品，将卡西法与哈尔的生命联系在一起。故事的最后，苏菲拯救了奄奄一息的哈尔，破除了哈尔与卡西法之间的约定并且帮助哈尔找回了自己心脏，同时自己身上的诅咒也被解除，而稻草人卡普在苏菲的亲吻下也摆脱了复杂的诅咒——原来他就是邻国王子，并且答应回国后就停止战争。虽然摆脱了契约的束缚，卡西法仍然留恋和他们在一起的生活，于是在它的驱使下，会飞的移动城堡搭载着苏菲与哈尔一行，过上了和平而幸福的生活  。
35,阿凡达,Avatar,詹姆斯·卡梅隆,动作,2010-01-04,162分钟,13.40亿,"萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",9.0,"['第82届奥斯卡金像奖', '第67届威尼斯电影节', '第82届奥斯卡金像奖', '第67届威尼斯电影节', '第67届金球奖', '第63届英国电影和电视艺术学院奖', '第34届日本电影学院奖', '第35届法国电影凯撒奖', '第5届北京国际电影节', '第19届MTV电影奖', '第36届土星奖', '第12届青少年选择奖', '第14届中国电影华表奖', '第49届美国剪辑工会奖', '第75届纽约影评人协会奖', '第74届纽约影评人协会奖', '第62届美国导演工会奖', '第22届芝加哥影评人协会奖', '第35届报知映画赏', '第9届凤凰城影评人协会奖', '第14届圣地亚哥影评人协会奖', '第5届华鼎奖']",战斗中负伤而下身瘫痪的前海军战士杰克·萨利（萨姆·沃辛顿 饰）决定替死去的同胞哥哥来到潘多拉星操纵格蕾丝博士（西格妮·韦弗 饰）用人类基因与当地纳美部族基因结合创造出的 “阿凡达” 混血生物。杰克的目的是打入纳美部落，外交说服他们自愿离开世代居住的家园，从而SecFor公司可砍伐殆尽该地区的原始森林，开采地下昂贵的“不可得”矿。在探索潘多拉星的过程中，杰克遇到了纳美部落的公主娜蒂瑞（佐伊·索尔达娜 饰），向她学习了纳美人的生存技能与对待自然的态度。与此同时，SecFor公司的经理和军方代表上校迈尔斯（史蒂芬·朗 饰）逐渐丧失耐心，决定诉诸武力驱赶纳美人……
36,疯狂原始人,The Croods,柯克·德·米科,喜剧,2013-04-20,98分钟,3.95亿,"尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹",9.5,"['第86届奥斯卡金像奖', '第71届金球奖', '第86届奥斯卡金像奖', '第71届金球奖', '第66届英国电影和电视艺术学院奖', '第41届安妮奖', '第25届美国制片人工会奖', '第19届评论家选择奖', '第12届华盛顿影评人协会奖', '第50届美国声音效果协会奖', '第61届美国音效剪辑协会奖', '第12届美国视觉效果协会奖', '第18届圣地亚哥影评人协会奖', '第18届金卫星奖']",原始人克鲁德一家六口在老爸瓜哥（尼古拉斯·凯奇 配音）的庇护下生活。每天抢夺鸵鸟蛋为食，躲避野兽的追击，每晚听老爸叙述同一个故事，在山洞里过着一成不变的生活。大女儿小伊（艾玛·斯通  配音）是一个和老爸性格截然相反的充满好奇心的女孩，她不满足一辈子留在这个小山洞里，一心想要追逐山洞外面的世界。没想到世界末日突然降临，山洞被毁，一家人被迫流离失所。展现在他们眼前的是一个崭新绚丽却又充满危险的新世界，四处都是食人鸟兽和叫不出名字的奇怪生物。危机中，他们遇到了游牧部落族人盖（瑞恩·雷诺兹 配音），凭借他超凡的创造力和革新思想，帮助克鲁德一家一次一次躲过重重困难，渐渐取代了老爸的地位，变成克鲁德全家人的偶像，也和小伊暗生情愫。但这个来历不明的神奇男子旅行的目的究竟是神马？在末日来临时，哪里才是一家人的安居之所？就这样，顽固保守的老爸，叛逆的大女儿小伊，神奇男子盖，像小疯狗一样的baby，疯狂老太奶奶，二缺的弟弟，以及温柔的妈妈，一起踏上了寻找新家园的旅途。他们一路上与拳击猴搏斗，与食人花捉迷藏，还差点酿成了森林大火……旅途中，他们与看似凶猛实则很萌的小鳄犬 、鹦鹉虎成为了朋友，一次又一次化险为夷，途中还发明了许多“高科技”产品。一行人在影片中展开了一场闹腾而又惊险的旅程。
37,十二怒汉,12 Angry Men,西德尼·吕美特,剧情,1957-04-13,96分钟,暂无,"亨利·方达,李·科布,马丁·鲍尔萨姆",9.1,"['第30届奥斯卡金像奖', '第7届柏林国际电影节', '第30届奥斯卡金像奖', '第7届柏林国际电影节', '第15届金球奖', '第11届英国电影和电视艺术学院奖', '第10届洛迦诺国际电影节', '第10届日本电影蓝丝带奖', '第33届日本电影旬报奖', '第23届纽约影评人协会奖', '第10届美国导演工会奖']",一个在贫民窟长大的18岁少年因为杀害自己的父亲被告上法庭，证人言之凿凿，各方面的证据都对他极为不利。十二个不同职业的人组成了这个案件的陪审团，他们要在休息室达成一致的意见，裁定少年是否有罪，如果罪名成立，少年将会被判处死刑。十二个陪审团成员各有不同，除了8号陪审员（亨利·方达 饰）之外，其他人对这个犯罪证据如此明确的案子不屑一顾，还没有开始讨论就认定了少年有罪。8号陪审员提出了自己的“合理疑点”，耐心地说服其他的陪审员，不断进行案件重演，在这个过程中，他们每个人不同的人生观也在冲突和较量……
38,搏击俱乐部,Fight Club,大卫·芬奇,剧情,1999-09-10,139分钟,3703万美元,"爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",8.8,"['第72届奥斯卡金像奖', '第9届MTV电影奖', '第72届奥斯卡金像奖', '第9届MTV电影奖']",杰克（爱德华·诺顿 饰）是一个大汽车公司的职员，患有严重的失眠症，对周围的一切充满危机感和憎恨。一个偶然的机会，杰克遇上了卖肥皂的商人泰勒（布拉德·皮特 饰），一个浑身充满叛逆、残酷和暴烈的痞子英雄，并因为自己公寓失火而住进了泰勒破旧不堪的家中。两人因缘际会地成为了好朋友，并创立了“搏击俱乐部”：一个让人们不戴护具而徒手搏击，宗旨在于发泄情绪的地下组织。俱乐部吸引了越来越多的人，逐渐发展成为一个全国性的地下组织，而泰勒也以自己个人的魅力，吸引着那些盲目的信徒。俱乐部的成员们到处滋事打架、大肆破坏，泰勒本人的行为也越来越疯狂。 杰克对于“搏击俱乐部”的现况及泰勒的行为越来越无法忍受，和泰勒发生争执，泰勒离开了他。然而，杰克发现，他走到何处都无法摆脱泰勒的影子，他开始思考：我到底是谁？
