职位,公司名称,工作地点,薪资,发布时间
python高级工程师,上海思贤信息技术股份有限公司,上海-徐汇区,1.5-3万/月,03-01
数据产品经理/测试工程师,哈尔滨数谱科技有限公司,哈尔滨-南岗区,4-8千/月,03-01
ETL工程师,重庆民贤餐饮管理有限公司,重庆-江北区,6-8千/月,02-29
算法工程师(J11113),朗新科技股份有限公司,无锡-无锡新区,0.8-1.5万/月,02-29
数据采集工程师,上海凭安征信服务有限公司,长沙-岳麓区,6-8千/月,02-29
Python开发工程师-杭州-00143,北软互联（北京）科技有限公司,杭州,1-1.5万/月,02-28
软件工程师,江苏耀群工业技术有限公司,苏州-吴中区,6-8千/月,02-28
数据工程师,北京海峰科技有限责任公司,北京-西城区,0.8-1万/月,02-28
工程师,北京思特奇信息技术股份有限公司新疆分公司,乌鲁木齐,0.8-1万/月,02-28
Java开发工程师,深圳中电国际信息科技有限公司,东莞,0.8-1.5万/月,02-27
JAVA软件工程师,深圳市莫林国际旅行社有限公司,深圳-龙华新区,9-15万/年,02-27
Java开发工程师,瀚思安信（北京）软件技术有限公司,上海-浦东新区,1.5-2万/月,02-27
#服务器工程师#（Python）,点米立德（深圳）科技有限公司,深圳-南山区,1.5-2.3万/月,02-27
会员分析主管,宝能百货零售有限公司,深圳-龙华新区,0.7-1.2万/月,02-27
期货分析师,广东锭海神针金属科技有限公司,佛山-顺德区,1-2万/月,02-27
数据库挖掘工程师,众安在线财产保险股份有限公司,上海,2.5-4万/月,02-27
数据团队业务分析实习生,风茂贸易（上海）有限公司,上海-静安区,160元/天,02-27
软件开发工程师（驻厂）,阳光雨露信息技术服务（北京）有限公司,武汉-江汉区,1-1.5万/月,02-27
研究助理/实习生,艾瑞咨询集团,上海-徐汇区,100元/天,02-27
运维工程师,北京思特奇信息技术股份有限公司四川分公司,成都-高新区,6-8千/月,02-26
高级软件开发工程师,四川娟娟家信息科技服务有限公司,成都,0.8-1.5万/月,02-25
大数据开发工程师,上海网萌网络科技有限公司,北京-大兴区,1.5-2万/月,02-25
Led灯选品专员,广州琳桦科技有限责任公司,广州-增城,4.5-6千/月,02-25
产品经理,北京际恒锐智企业管理顾问有限公司,北京,1.5-2.5万/月,02-25
技术文档助理,深圳市比一比网络科技有限公司,深圳-南山区,4-6千/月,02-25
Python开发工程师,广州华建工智慧科技有限公司,广州-黄埔区,1-1.5万/月,02-24
抖音推广,杭州东印化妆品有限公司,杭州-拱墅区,1-1.5万/月,02-24
抖音推广,杭州双平科技有限公司,杭州-江干区,0.8-1万/月,02-24
数据挖掘工程师,北京华宇泰聚科技有限公司,北京-海淀区,1.5-2万/月,02-22
C#/.net软件开发工程师,武汉淘京联合科技有限公司,武汉-青山区,0.6-1.2万/月,02-21
数据分析师,乐其网络科技有限公司,上海-长宁区,0.7-1.2万/月,02-21
数据实习生,广州市藏星网络科技有限公司,广州-海珠区,120元/天,02-21
风险管理部-风控助理（量化及系统建设方向）（实习）,财通证券资产管理有限公司上海分公司,上海,,02-21
算法工程师,深圳市超级猩猩健身管理有限公司,深圳-南山区,2-2.5万/月,02-20
后端开发工程师（侧重数据采集）,上海链投信息科技有限公司,上海-浦东新区,1.2-1.8万/月,02-20
web后端工程师,北京双湃智安科技有限公司,沈阳-和平区,1-1.5万/月,02-19
数据运营和分析工程师,中国中金财富证券有限公司,深圳-福田区,1-1.5万/月,02-19
高级软件工程师,上海天齐智能建筑股份有限公司,上海-普陀区,20-30万/年,02-19
AI算法工程师,咪咕互动娱乐有限公司,南京-建邺区,2-2.5万/月,02-19
Python开发工程师,深圳市迈特思创科技有限公司,深圳,1-1.5万/月,02-19
系统架构师,中山和合实业有限公司,中山,1.2-1.8万/月,02-19
ERP Java开发工程师,北京寺库商贸有限公司上海分公司,深圳-南山区,1.3-2.5万/月,02-18
Python开发工程师,南京锐意企创网络科技有限公司,南京-浦口区,0.8-1万/月,02-18
数据工程师,上海中汇亿达金融信息技术有限公司,上海-浦东新区,20-30万/年,02-18
网络管理员,信永中和北京总部,北京-东城区,,02-17
python工程师,广州奕策贸易有限公司,广州-番禺区,5-7千/月,02-16
python开发工程师,杭州所罗门信息科技有限公司,杭州-江干区,0.9-1.2万/月,02-15
VBA脚本开发助理,明略科技集团,烟台,3-4.5千/月,02-15
Python 数据分析师,知才（上海）信息技术有限公司,上海-黄浦区,1-1.6万/月,02-13
深度学习工程师,楚宬商务咨询服务（武汉）有限公司,武汉-武昌区,0.8-1.2万/月,02-13
大数据开发工程师,三诺生物传感股份有限公司,长沙,1-1.5万/月,02-13
Python开发工程师,广州速迈科技有限公司,广州-天河区,6-8千/月,02-13
大数据开发工程师,深圳联友科技有限公司,广州-花都区,0.8-1.5万/月,02-13
资深商业数据分析师（营销线）,MobData大数据云平台,上海-徐汇区,2-4万/月,02-12
高级JAVA工程师,1药网,上海-浦东新区,1.5-2.5万/月,02-12
跨境电商数据运营,宁波优耐特进出口有限公司,宁波,0.8-1万/月,02-12
数据采集工程师,上海前滩新兴产业研究院,上海-浦东新区,0.6-1.2万/月,02-12
数据分析工程师,山东众顺铝业有限公司,济南,1-1.5万/月,02-11
理脉-数据处理工程师,北京市金杜律师事务所,北京-朝阳区,1.5-2万/月,02-10
软件开发项目经理,云南东翔商务有限公司,昆明-官渡区,0.8-1.2万/月,02-10
Python开发工程师,成都思而科软件有限公司,成都,0.8-1.5万/月,02-09
运维工程师,上海讯实网络科技有限公司,南京-雨花台区,0.6-1万/月,02-09
数据挖掘工程师,普育吧科教技术（北京）有限公司华中分公司,武汉,1-1.5万/月,02-08
数据分析师,浩鲸云计算科技股份有限公司,南京-雨花台区,1.5-2万/月,02-07
JAVA中级开发工程师,北京中科联通科技有限责任公司,郑州-金水区,6-9千/月,02-07
SEO优化,北京物通时空网络科技开发有限公司河南分公司,郑州-管城回族...,6-8千/月,02-06
数据分析师,上海商羊资产管理有限公司,福州-台江区,0.8-1.5万/月,02-04
数据抓取工程师,宽华投资集团有限公司,杭州-余杭区,1.5-2万/月,02-04
数据挖掘工程师,成都市经济信息中心（成都市经济发展研究院）,成都,1-1.5万/月,02-03
Java中级开发工程师,易博国际旅行社（北京）有限公司,北京-东城区,1.2-2万/月,02-03
python后端开发工程师,北京人人金服投资管理有限公司,北京-朝阳区,1.1-2万/月,02-03
运营分析专员02,锦创科技股份有限公司,南京-秦淮区,4.5-6千/月,02-03
大数据开发工程师,上海事途科技（集团）有限公司,上海-闵行区,1.5-2.5万/月,02-02
Python开发工程师,深圳市世纪恒程知识产权代理事务所武汉分所,武汉,6-8千/月,02-01
Java软件工程师,辽宁骐迹科技有限公司,沈阳-和平区,10-30万/年,02-01
Python开发工程师,南京九度网络科技有限公司,北京-通州区,1-1.5万/月,01-23
数据分析师BI,杭州微柠科技有限公司,杭州-滨江区,0.7-1万/月,01-22
软件开发工程师,福州行健网络技术有限公司,福州-鼓楼区,6-8千/月,01-22
Web前端开发工程师,赛科工业科技开发（武汉）有限公司上海分公司,上海,1-1.5万/月,01-22
主题公园饲养（生命守护者）,武汉海云台企业管理有限公司,武汉-江岸区,3.5-4千/月,01-22
AI数据工程师（正大集团）,上海正圆计算机科技有限公司,南京-玄武区,1.5-3万/月,01-21
Java开发工程师,武汉票贴贴科技有限责任公司,鄂州,5-8千/月,01-21
资深安全工程师,挚享科技（上海）有限公司,上海-长宁区,2-3.1万/月,01-21
Java高级开发工程师,浙江天天商旅国际旅行社有限公司,宁波,1.5-2万/月,01-21
全栈工程师,世航国际基金管理（深圳）有限公司,深圳-福田区,1.5-2万/月,01-21
六险急招.net软件开发工程师,北京正橹航空服务有限公司,长沙-天心区,0.7-1万/月,01-20
SEO专员,上海浦圣环保机械有限公司,上海-嘉定区,0.8-1万/月,01-20
数据工程师,北京博达克咨询有限公司,北京-朝阳区,2.2-2.5万/月,01-20
大数据开发工程师,无锡智慧城市建设发展有限公司,无锡,0.8-1.5万/月,01-19
Python开发工程师,上海智德投资管理有限公司,上海,1-1.5万/月,01-19
数据库工程师,上海瀚铭数据信息有限公司,上海-浦东新区,1-1.5万/月,01-19
Python开发工程师,深圳乐通信息技术有限公司,武汉-东西湖区,0.8-1万/月,01-19
SEO专员,深圳市万创科技有限公司,深圳,6-8千/月,01-18
大数据技术研发经理,时代嘉道企业机构,上海-长宁区,1.5-2万/月,01-18
软件工程师,深圳市源林电子商务有限公司,深圳-龙华新区,1-1.5万/月,01-17
Python研发工程师,无疆酒店管理（江西）有限公司,北京-朝阳区,1.8-2.2万/月,01-17
高级软件研发工程师,深圳市华一软件开发有限公司,深圳,0.8-1万/月,01-17
爬虫工程师（180/天）,巧工匠（深圳）信息技术服务有限公司,深圳-南山区,180元/天,03-17
Python爬虫实习生,美英港新留学,南京-秦淮区,2-4千/月,03-17
IT技术支持,南京宝易佰网络科技有限公司,南京-玄武区,1.5千以下/月,03-17
Python讲师,湖南潭州教育网络科技有限公司北京分公司,北京-石景山区,4-8千/月,03-17
python开发实习生,江苏博思堂房地产综合服务股份有限公司,苏州-吴中区,2-3千/月,03-17
Python实习,武汉俊誉科技信息技术有限公司,武汉,2-3千/月,03-17
python开发实习生,广州深声科技有限公司,广州-天河区,2.5-3.5千/月,03-17
python实习生,浙江森乐服饰有限公司,上海-闵行区,2-3千/月,03-17
数据处理工程师（实习生）,广东国地规划科技股份有限公司,广州-天河区,1-2千/月,03-17
智能算法工程师,新仁类,上海-浦东新区,1.5-2千/月,03-16
数据分析/数据挖掘工程师,广东泰迪智能科技股份有限公司,广州,100元/天,03-13
开发工程师,浙江北斗数据科技股份有限公司,宁波-江北区,2-3千/月,03-11
Python高级开发工程师,广东顺德西安交通大学研究院,佛山-顺德区,10000元/天,03-10
信息技术总监,湖北周黑鸭企业发展有限公司,武汉,5-7万/月,03-03
Python讲师,广州粤嵌通信科技股份有限公司,广州-黄埔区,1.5-2千/月,02-21
爬虫工程师,中国太平洋财产保险股份有限公司东莞分公司,东莞,10-15万/年,03-17
爬虫部经理,深圳筑龙信息技术有限责任公司,深圳-福田区,0.8-1.2万/月,03-17
爬虫工程师,杭州筑龙信息技术股份有限公司,杭州-滨江区,1.5-2万/月,03-17
python爬虫工程师,上海欧锐信息咨询有限公司,嘉兴,0.6-1万/月,03-17
高级Spider爬虫研发工程师,智线云科技（北京）有限公司武汉分公司,武汉-洪山区,0.8-1.3万/月,03-17
爬虫工程师（Java或Python）,智线云科技（北京）有限公司武汉分公司,武汉-洪山区,1.5-2.5万/月,03-17
Java爬虫工程师,北京三六九数动科技有限公司,北京,2.5-3万/月,03-17
高级爬虫工程师（Java）,广州数说故事信息科技有限公司,广州-天河区,1.5-2万/月,03-17
8K+初级爬虫工程师+双休五险,广州数说故事信息科技有限公司,广州-天河区,1.5-2万/月,03-17
爬虫开发工程师,长沙紫檀数据科技有限公司,长沙-岳麓区,6-8千/月,03-17
爬虫工程师,静瞳海外投资顾问（深圳）有限公司,深圳-福田区,1.5-3万/月,03-17
爬虫工程师(R10113),静瞳海外投资顾问（深圳）有限公司,广州,1.5-2万/月,03-17
Python爬虫工程师,苏州贝尔塔数据技术有限公司,苏州-工业园区,1.5-2万/月,03-17
爬虫开发工程师,广州特道信息科技有限公司,广州,6-8千/月,03-17
资深爬虫工程师,海南太美航空股份有限公司,成都,0.8-1.5万/月,03-17
爬虫开发工程师,上海优克锡企业管理顾问有限公司,济南-市中区,2-3.5万/月,03-17
中高级爬虫工程师,成都品宏源创科技有限公司,深圳-南山区,1.2-1.6万/月,03-17
爬虫工程师-伏羲实验室003,成都搜江湖科技信息有限公司,成都-金牛区,0.6-1.2万/月,03-17
爬虫工程师,网易集团,杭州,1-1.5万/月,03-17
爬虫工程师,网易集团,广州,2.5-3万/月,03-17
爬虫开发工程师（双休五险一金）,医药魔方,北京-朝阳区,1-2万/月,03-16
python爬虫开发工程师（双休+奖金）,南京涌亿思信息技术有限公司,南京-秦淮区,0.6-1.2万/月,03-16
java爬虫工程师,邯郸市辰星网络科技有限公司,石家庄,4.5-8千/月,03-16
爬虫开发工程师,上海蜜度信息技术有限公司,上海,0.8-1.2万/月,03-16
python爬虫实习生,易居企业（中国）集团有限公司,合肥-蜀山区,6-8千/月,03-16
TEG13-python爬虫开发工程师,指南者教育,南京,200元/天,03-16
.NET爬虫开发工程师,深圳市腾讯计算机系统有限公司,深圳,,03-16
爬虫工程师,北京弘亚世纪投资顾问有限公司上海分公司,上海,1.5-2.5万/月,03-13
Java工程师爬虫方向（大三大四学生）,深圳市英驰贸易科技有限公司,深圳-龙华新区,0.8-1.2万/月,03-13
数据爬虫工程师,上海璞锐公关策划咨询有限公司,上海,3-4.5千/月,03-11
数据爬虫工程师,北京中农富通城乡规划设计研究院有限公司,西安-碑林区,0.6-1.2万/月,03-11
数据爬虫工程师,北京中农富通城乡规划设计研究院有限公司,厦门,500元/天,03-11
数据爬虫工程师,北京中农富通城乡规划设计研究院有限公司,厦门,0.6-1.2万/月,03-11
数据爬虫工程师,北京中农富通城乡规划设计研究院有限公司,北京-海淀区,500元/天,03-11
爬虫工程师（解决方案）,北京中农富通城乡规划设计研究院有限公司,北京-海淀区,0.8-1.5万/月,03-11
爬虫工程师（***）,广州探迹科技有限公司,广州-番禺区,1.5-2.5万/月,03-11
高级爬虫工程师 (MJ007042),北京易智思信息科技有限公司,武汉-洪山区,3-4.5千/月,03-09
爬虫开发工程师-产品技术平台,搜狐焦点,北京-海淀区,1.5-2.5万/月,03-09
爬虫工程师,搜狐焦点,北京-海淀区,1.5-2.5万/月,03-09
爬虫开发工程师,成都品宏源创科技有限公司,成都-高新区,0.8-1.6万/月,03-02
( [ python爬虫开发工程师 ] ),成都指玩科技有限公司,成都-武侯区,4.5-8千/月,02-28
BI开发工程师/爬虫工程师/数据采集工程师,林氏木业,异地招聘,1.5-2万/月,02-28
跨境电商爬虫开发工程师,深圳市微八进出口有限公司,深圳-龙岗区,1-2万/月,02-27
爬虫开发工程师,南京茂毓通软件科技有限公司,南京-雨花台区,0.8-1.5万/月,02-25
爬虫开发系统工程师,南京茂毓通软件科技有限公司,南京-雨花台区,2.5-4万/月,02-21
Python爬虫研发工程师,广州多益网络股份有限公司,广州-黄埔区,1-2万/月,02-21
爬虫开发工程师,浙江华治数聚科技股份有限公司,北京-海淀区,1-1.5万/月,02-05
逆向（爬虫）工程师,浙江华治数聚科技股份有限公司,北京-海淀区,1.5-2万/月,02-05
高级爬虫工程师,浙江华治数聚科技股份有限公司,北京-海淀区,1.5-2万/月,02-05
高级爬虫工程师（高新）,广州仁昌网络科技有限公司,异地招聘,3-4万/月,01-23
高级爬虫工程师（高新）,广州仁昌网络科技有限公司,异地招聘,3-4万/月,01-23
高级爬虫工程师（高新）,广州仁昌网络科技有限公司,异地招聘,3-4万/月,01-23
高级爬虫工程师（高新）,广州仁昌网络科技有限公司,异地招聘,3-4万/月,01-23
高级爬虫工程师（高新）,广州仁昌网络科技有限公司,异地招聘,3-4万/月,01-23
高级爬虫工程师（高新）,广州仁昌网络科技有限公司,广州-天河区,3-4万/月,01-23
高级爬虫工程师（高新）,广州仁昌网络科技有限公司,异地招聘,3-4万/月,01-23
高级爬虫工程师（高新）,广州仁昌网络科技有限公司,异地招聘,3-4万/月,01-23
爬虫工程师,武汉慧通远达信息技术有限公司,异地招聘,0.7-1.2万/月,01-21
网络爬虫工程师（实习）,上海恒生聚源数据服务有限公司,杭州-江干区,3-4.5千/月,01-19
26699-智慧零售后台开发工程师,深圳市腾讯计算机系统有限公司,深圳,,03-17
Java工程师,广州金科企业征信有限公司,广州-天河区,6-9千/月,03-17
Python开发工程师,上海新大陆翼码信息科技股份有限公司,上海,1-3万/月,03-17
Python高级开发工程师,深圳市道合顺科技有限公司,深圳-福田区,2-3万/月,03-17
Java中级开发工程师,杭州软星科技有限公司,杭州-拱墅区,0.6-1.2万/月,03-17
Python开发工程师,北京华脉世纪石油科技有限公司,北京,0.8-1万/月,03-17
Python工程师,广州华央电子科技有限公司,广州-黄埔区,6-8千/月,03-17
python讲师,湖南潭州教育网络科技有限公司成都分公司,成都-成华区,6-8千/月,03-17
急聘python讲师五险+宿补,湖南潭州教育网络科技有限公司贵阳分公司,贵阳,6-8万/年,03-17
Python开发工程师,中软国际科技服务有限公司,西安-雁塔区,1-1.5万/月,03-17
运维工程师,中软国际科技服务有限公司,深圳-南山区,1-1.5万/月,03-17
Web前端开发（阿里）,中软国际科技服务有限公司,广州-天河区,1-1.3万/月,03-17
网站优化工程师,杭州筑龙信息技术股份有限公司,杭州-滨江区,4-8千/月,03-17
中级golang工程师,杭州深绘智能科技有限公司,成都-双流区,1.1-1.9万/月,03-17
SEO网络推广（阿里巴巴国际站）,广州市汉婷信息科技有限公司,广州-天河区,6-8千/月,03-17
Java开发工程师,苏州时玳运成网络科技发展有限公司,苏州-工业园区,1.7-2.7万/月,03-17
研发工程师（江苏省）,北京神州绿盟信息安全科技股份有限公司,江苏省,,03-17
研发工程师（杭州）,北京神州绿盟信息安全科技股份有限公司,杭州,,03-17
研发工程师（成都）,北京神州绿盟信息安全科技股份有限公司,成都,,03-17
实习安全研究员(J12131),绿盟科技,广州-荔湾区,150元/天,03-17
Python 后端开发工程师(J11843),绿盟科技,西安-高新技术...,1-1.8万/月,03-17
搜索引擎专家(TJ0015),万得信息技术股份有限公司（Wind资讯）,南京-建邺区,30-40万/年,03-17
资深Java软件工程师(TJ0013),万得信息技术股份有限公司（Wind资讯）,南京-建邺区,20-30万/年,03-17
高级C++软件工程师(TE0005),万得信息技术股份有限公司（Wind资讯）,上海-浦东新区,20-30万/年,03-17
Java架构师(TJ0014),万得信息技术股份有限公司（Wind资讯）,南京-建邺区,30-40万/年,03-17
Java架构师(TJ0005),万得信息技术股份有限公司（Wind资讯）,上海-浦东新区,20-30万/年,03-17
软件工程师（算法高级）(TA0006),万得信息技术股份有限公司（Wind资讯）,南京-建邺区,,03-17
软件工程师（算法研究）(TA0004),万得信息技术股份有限公司（Wind资讯）,南京-建邺区,,03-17
资深软件工程师（搜索引擎）(TJ0016),万得信息技术股份有限公司（Wind资讯）,南京-建邺区,,03-17
资深Java软件工程师(TJ0004),万得信息技术股份有限公司（Wind资讯）,上海-浦东新区,20-30万/年,03-17
高级JAVA软件工程师(TJ0003),万得信息技术股份有限公司（Wind资讯）,上海-浦东新区,20-30万/年,03-17
高级C#软件工程师(TC0006),万得信息技术股份有限公司（Wind资讯）,南京,15-20万/年,03-17
地理位置中台方向工程师,字节跳动,深圳,2-4万/月,03-17
scratch少儿编程老师,东莞市海豚教育科技有限公司,东莞-石龙镇,6-8千/月,03-17
高级数据分析工程师,广东尚睿网络技术有限公司,异地招聘,1-1.6万/月,03-17
高级数据分析工程师,广东尚睿网络技术有限公司,异地招聘,1-1.6万/月,03-17
高级数据分析工程师,广东尚睿网络技术有限公司,东莞-东城区,1-1.6万/月,03-17
SEO网络优化推广,山东九鼎企业管理咨询有限公司,济南-高新区,6-8千/月,03-17
SEO网络优化推,山东九鼎企业管理咨询有限公司,济南-高新区,6-8千/月,03-17
Python开发工程师,上海欧锐信息咨询有限公司,上海-杨浦区,0.8-1.2万/月,03-17
Web安全工程师,北京启明星辰信息安全技术有限公司,长沙,0.6-1.2万/月,03-17
安全运营,奇虎360科技有限公司,天津,1.5-2万/月,03-17
匿名网络分析师,奇虎360科技有限公司,北京,2-2.5万/月,03-17
Python开发工程师,西安先驱电子科技有限公司,西安,4.5-6千/月,03-17
机器学习算法工程师,广东南芯医疗科技有限公司,广州-黄埔区,1-1.8万/月,03-17
SEO工程师,上海途阔网络科技有限公司,上海-普陀区,1-2万/月,03-17
大数据后台工程师,广西飞熊科技有限公司,柳州,1-1.5万/月,03-17
Java开发/Java开发工程师,国衡智慧城市科技研究院（北京）有限公司,北京,0.8-1万/月,03-17
饲养员（室内动物园）,上海物垣贸易有限公司,上海-嘉定区,4.5-6千/月,03-17
数据处理分析师（实习岗位）,凌旭科技,苏州-工业园区,2-3千/月,03-17
Java开发工程师,武汉研锶信息科技有限公司,武汉-东湖新技...,0.9-1.2万/月,03-17
Java研发工程师,武汉研锶信息科技有限公司,武汉-东湖新技...,0.9-1.2万/月,03-17
Java高级开发工程师,武汉研锶信息科技有限公司,武汉-东湖新技...,1.2-2万/月,03-17
Java开发工程师,武汉研锶信息科技有限公司,武汉-东湖新技...,0.9-1.2万/月,03-17
高级Java工程师,武汉研锶信息科技有限公司,武汉-东湖新技...,1.2-2万/月,03-17
Java工程师,武汉研锶信息科技有限公司,武汉-东湖新技...,0.9-1.2万/月,03-17
Java高级开发工程师,武汉研锶信息科技有限公司,武汉-东湖新技...,1.2-2万/月,03-17
Java软件开发,武汉研锶信息科技有限公司,武汉-东湖新技...,0.9-1.2万/月,03-17
Java,武汉研锶信息科技有限公司,武汉-东湖新技...,0.9-1.2万/月,03-17
AI数据分析人工智能师,深圳市诺维尔科技互联网有限公司,深圳-龙华新区,0.8-1万/月,03-17
人工智能工程师,购乐贸易（深圳）有限公司,深圳-龙华新区,0.8-1万/月,03-17
测试分析师,购乐贸易（深圳）有限公司,深圳-罗湖区,0.8-1万/月,03-17
机器人研发工程师,购乐贸易（深圳）有限公司,深圳-罗湖区,1-1.5万/月,03-17
AI技术工程师,购乐贸易（深圳）有限公司,深圳-龙华新区,1-1.5万/月,03-17
人工智能算法工程师招聘,购乐贸易（深圳）有限公司,深圳-龙华新区,1-1.5万/月,03-17
JAVA培训讲师,北京友聚四海网络科技有限公司,北京-朝阳区,2.5-3万/月,03-17
.NET开发工程师,北京友聚四海网络科技有限公司,北京-朝阳区,2-2.5万/月,03-17
Web前端开发工程师,广州优视电子有限责任公司,广州-天河区,0.5-1万/月,03-17
乐高/编程老师+双休+五险一金+餐补+上市教育,佛山童程童美教育科技有限公司,佛山-顺德区,0.8-1万/月,03-17
乐高/编程老师+上市教育+五险一金+均薪8K起 su,佛山童程童美教育科技有限公司,佛山-顺德区,0.8-1万/月,03-17
网络推广专员(SEM/会Python为佳),深圳市宇达计算机有限公司,深圳-南山区,0.4-2万/月,03-17
SEO,深圳市墨者安全科技有限公司,深圳-南山区,0.8-1万/月,03-17
Java开发工程师,苏州时玳运成网络科技发展有限公司,异地招聘,1.7-2.7万/月,03-17
Hadoop开发工程师,北京三六九数动科技有限公司,北京-朝阳区,2-2.5万/月,03-17
Python 工程师,北京三六九数动科技有限公司,北京-朝阳区,1-1.5万/月,03-17
天猫数据专员,乐扣乐扣（中国）,上海,6-8千/月,03-17
数据挖掘算法工程师,绿漫科技有限公司,杭州-西湖区,1.5-2万/月,03-17
Java/Python软件工程师,长沙紫檀数据科技有限公司,长沙-岳麓区,0.6-1.2万/月,03-17
15K+中级Python开发工程师+双休五险,长沙紫檀数据科技有限公司,长沙-岳麓区,1-1.5万/月,03-17
8K+初级Python开发工程师+双休五险,长沙紫檀数据科技有限公司,长沙-岳麓区,6-8千/月,03-17
情报专员（教育方向）,福建网龙计算机网络信息技术有限公司,福州-鼓楼区,6-8千/月,03-17
程序开发工程师,广州赛脑信息科技有限公司,广州-天河区,1-1.5万/月,03-17
python爬取工程师,上海恒生聚源数据服务有限公司,上海,1.5-2.5万/月,03-17
配置人员,上海恒生聚源数据服务有限公司,上海,6-8千/月,03-17
C#开发工程师,上海恒生聚源数据服务有限公司,上海,1.5-2.5万/月,03-17
数据工程师,静瞳海外投资顾问（深圳）有限公司,广州,1-1.5万/月,03-17
大数据开发工程师,静瞳海外投资顾问（深圳）有限公司,深圳-福田区,1.5-2万/月,03-17
数字货币程序员/量化交易程序员,静瞳海外投资顾问（深圳）有限公司,广州,1.8-3万/月,03-17
Java开发工程师,广州九图信息科技有限公司,肇庆,0.8-1万/月,03-17
大数据开发工程师,智慧芽信息科技（苏州）有限公司,苏州-工业园区,1.5-2.5万/月,03-17
高级数据工程师,智慧芽信息科技（苏州）有限公司,苏州-工业园区,1.5-2.5万/月,03-17
高级Java开发工程师（数据开发部）,深圳市泽宝创新技术有限公司,深圳-龙岗区,2-3万/月,03-17
PHP开发工程师,深圳市墨知创新科技有限公司,西安-高新技术...,0.7-1.2万/月,03-17
数据分析师,江苏梦嘉控股集团有限公司,苏州-工业园区,0.6-1万/月,03-17
系统开发及运维工程师,武汉市德发信息技术有限公司,武汉,1-1.5万/月,03-17
程序开发专员,广东爱霖科技有限公司,广州-天河区,4-8千/月,03-17
Python开发工程师/讲师,如皋中软国际信息技术有限公司,南通,1.3-1.8万/月,03-17
Python开发工程师,大参林医药集团股份有限公司,异地招聘,0.8-1万/月,03-17
Python开发工程师,大参林医药集团股份有限公司,广州,0.8-1万/月,03-17
中级软件工程师(Python),重庆维普资讯有限公司,重庆-渝北区,0.6-1.2万/月,03-17
IT技术支持,成都匠领科技有限公司,成都-双流区,0.3-1.5万/月,03-17
Python 数据工程师,成都匠领科技有限公司,成都-双流区,0.4-1万/月,03-17
应届生 数据分析专员,成都匠领科技有限公司,成都-双流区,0.4-1万/月,03-17
IT 工程师 技术支持 网络运维 外企福利 闯者天堂,成都匠领科技有限公司,成都,0.4-1万/月,03-17
高级python工程师,广东博士科技有限公司,广州-黄埔区,1.3-2万/月,03-17
数据开发工程师,安吉康尔（深圳）科技有限公司,深圳-龙华新区,1-2万/月,03-17
Python开发工程师,海南太美航空股份有限公司,海南省,6-8千/月,03-17
Python开发工程师,海南太美航空股份有限公司,成都,0.8-1.5万/月,03-17
Java高级开发工程师,宏兆集团,深圳-南山区,0.8-1.5万/月,03-17
Java开发工程师,深圳市蓝思网络技术有限公司,深圳,1.2-2万/月,03-17
研发产品经理,郑州李唐电子科技有限公司,郑州,2-3万/月,03-17
系统架构师,郑州李唐电子科技有限公司,郑州,1.5-3万/月,03-17
软件系统架构师,郑州李唐电子科技有限公司,郑州,1.5-2万/月,03-17
ERP开发,郑州李唐电子科技有限公司,郑州,1-2万/月,03-17
Python高级开发工程师（AI）,杭州祐全科技发展有限公司,杭州-余杭区,1.8-3.5万/月,03-17
软件测试工程师,成都搜江湖科技信息有限公司,成都-金牛区,4-5.5千/月,03-17
算法工程师,米思米（中国）精密机械贸易有限公司,上海-静安区,1-2.2万/月,03-17
数据挖掘工程师,米思米（中国）精密机械贸易有限公司,上海-静安区,1-2.2万/月,03-17
游戏数据分析师,网易集团,广州,1-1.5万/月,03-17
游戏数据分析师,网易集团,广州-天河区,1-1.5万/月,03-17
阿里云智能-行业解决方案运营专家-北京/杭州,阿里巴巴集团,北京,,03-17
达摩院-工程技术专家-NLP&amp;Data Solution,阿里巴巴集团,杭州,,03-17
飞猪技术-高级Java工程师/技术专家-杭州,阿里巴巴集团,杭州,,03-17
创新事业群UC事业部-Java技术专家,阿里巴巴集团,北京,,03-17
数据技术及产品部-数据研发专家-文娱数据基础架构方向,阿里巴巴集团,北京,,03-17
阿里集团-CRO-情报数据挖掘专家,阿里巴巴集团,杭州,,03-17
医学产品数据规划师,火石创造（医健产业大数据）,杭州-滨江区,20-30万/年,03-16
Python开发工程师,苏州聚捷信息技术有限公司,苏州-高新区,1-1.5万/月,03-16
大数据开发工程师,北京新大陆时代教育科技有限公司,福州,1.2-2万/月,03-16
AI工程师（实习生）,南京涌亿思信息技术有限公司,南京,6-8千/月,03-16
自然语言处理（NLP）实习生,南京涌亿思信息技术有限公司,南京,6-8千/月,03-16
Python高级开发工程师,上海灏程信息科技有限公司,上海-闵行区,1.5-3万/月,03-16
Python开发工程师,上海灏程信息科技有限公司,上海-闵行区,1-2万/月,03-16
政策申报员,深圳市应新信息技术研究院,深圳-坪山区,3-4.5千/月,03-16
Java开发工程师,深圳前海思空传媒有限公司,深圳-南山区,0.8-1.2万/月,03-16
谷歌SEO网络推广（天河/有挑战性）,广州市汉婷信息科技有限公司,广州-天河区,0.8-1.2万/月,03-16
Google谷歌SEO网站优化,广州市汉婷信息科技有限公司,广州-天河区,5-8千/月,03-16
